"FS","fs_ll_contrib","raw_fs_ll_contrib","model_ll","raw_model_ll","cs_raw_pp"
0,0,0,-181317.474348127,-181317.474348127,0
1,1047.35617935931,1047.54153307335,-180280.190726248,-180269.932815053,1.00000000000967
2,154.594867062173,154.424532891426,-180117.525326284,-180115.508282162,0.999974489487058
3,125.669570106198,125.63180100196,-179994.20658864,-179989.87648116,0.999920697202951
4,102.857770453353,94.1724531758809,-179885.086769399,-179895.704027984,0.999971739619977
5,70.3792363856337,74.9696339645889,-179824.347349954,-179820.734394019,0.9499180714748
6,40.6136818391096,36.8791772900731,-179772.709713133,-179784.711577897,0.999944860742419
7,46.3916512677097,36.0228161221021,-179734.812110022,-179747.832400607,0.568218595606047
8,28.004914921301,27.2281960332766,-179723.727443125,-179724.653645159,0.998147844200911
9,7.04380406340351,23.5398354566714,-179698.600310164,-179697.425449126,0.0201442574398608
10,1.62298608385026,23.1787554483162,-179695.928502823,-179691.551355718,0.932687121927338
11,0.674167896213476,13.4346068069281,-179694.361766946,-179678.116748911,0.426100882421677
12,5.64178117827396,8.82865512315766,-179694.188336467,-179674.837393525,0.0232958593131666
13,0.00994627131149173,5.87409340793965,-179687.03487975,-179666.008738402,0.657192330839681
14,0.000173266365891322,3.27935538528254,-179687.031206573,-179668.812810011,0.0328953239010519
15,2.89658783003688e-05,-2.80407160878531,-179686.613589006,-179645.272974554,0.0235796671438043
