"FSpair_1","FSpair_2","corr","nr_FS_compared"
0,1,-0.0366289717879129,"1"
0,1,-0.0366289717879128,"2"
0,2,-0.0114637497175409,"2"
1,2,-0.00727835965978334,"2"
0,1,-0.0366289717879128,"3"
0,2,-0.0114637497110972,"3"
0,3,-0.011477363000555,"3"
1,2,-0.00727835965569223,"3"
1,3,-0.00728700276281405,"3"
2,3,-0.0022806093575507,"3"
0,1,-0.0201543631331335,"4"
0,2,-0.0304822436785561,"4"
0,3,-0.0114637497100828,"4"
0,4,-0.0115163739082451,"4"
1,2,-0.00947602860874818,"4"
1,3,-0.00400477262508894,"4"
1,4,-0.00402315648321108,"4"
2,3,-0.00605697407696716,"4"
2,4,-0.00608477853991789,"4"
3,4,-0.0022883610195654,"4"
0,1,-0.0201619983357532,"5"
0,2,-0.0303884385702688,"5"
0,3,-0.0114637497092409,"5"
0,4,-0.0115936235294718,"5"
0,5,0.254577129110729,"5"
1,2,-0.00946092322616878,"5"
1,3,-0.00400628977769292,"5"
1,4,-0.00405167738398039,"5"
1,5,-0.00999274856483771,"5"
2,3,-0.00603833453295288,"5"
2,4,-0.00610674335149109,"5"
2,5,-0.0150612067739445,"5"
3,4,-0.00230371090499388,"5"
3,5,-0.0056816971486174,"5"
4,5,-0.00574606559112547,"5"
