"genomeScore","chrom","start","end","label","log2_FC","nrSupportGuides"
-8.63854398271805,"chr8",128702871,128703010,"chr",1,1
3.2560914287899,"chr8",128703011,128703020,"chr",1,2
-11.986337079058,"chr8",128703021,128703038,"chr",1,3
-11.986337079058,"chr8",128703039,128703039,"chr",1,3
-35.2905729907285,"chr8",128703040,128703040,"chr",1,4
-58.3670373080256,"chr8",128703041,128703043,"chr",1,7
-69.1634441845337,"chr8",128703044,128703113,"chr",1,8
-69.1634441845337,"chr8",128703114,128703114,"chr",1,8
-68.9926319327024,"chr8",128703115,128703115,"chr",1,9
-94.1279353124791,"chr8",128703116,128703130,"chr",1,11
-95.5553812142873,"chr8",128703131,128703144,"chr",1,12
-95.5553812142873,"chr8",128703145,128703145,"chr",1,12
-115.96501013827,"chr8",128703146,128703167,"chr",1,14
-123.009341198981,"chr8",128703168,128703205,"chr",1,15
-123.009341198981,"chr8",128703206,128703206,"chr",1,15
-148.601074107787,"chr8",128703207,128703214,"chr",1,17
-161.209862735247,"chr8",128703215,128703247,"chr",1,18
-161.209862735247,"chr8",128703248,128703248,"chr",1,18
-185.937003409672,"chr8",128703249,128703286,"chr",1,20
-190.517111322433,"chr8",128703287,128703292,"chr",1,21
-190.517111322433,"chr8",128703293,128703293,"chr",1,21
-203.660114945993,"chr8",128703294,128703297,"chr",1,23
-203.660114945993,"chr8",128703298,128703298,"chr",1,23
-213.098954888897,"chr8",128703299,128703299,"chr",1,24
-226.894705945005,"chr8",128703300,128703315,"chr",1,26
-226.894705945005,"chr8",128703316,128703316,"chr",1,26
-239.53360718213,"chr8",128703317,128703317,"chr",1,27
-257.472753181039,"chr8",128703318,128703379,"chr",1,29
-257.472753181039,"chr8",128703380,128703380,"chr",1,29
-266.798173284158,"chr8",128703381,128703381,"chr",1,30
-281.077226769335,"chr8",128703382,128703387,"chr",1,32
-281.077226769335,"chr8",128703388,128703388,"chr",1,32
-293.691681316467,"chr8",128703389,128703392,"chr",1,34
-306.612779034931,"chr8",128703393,128703456,"chr",1,35
-317.518979640519,"chr8",128703457,128703487,"chr",1,36
-324.503842357614,"chr8",128703488,128703522,"chr",1,37
-328.272157349477,"chr8",128703523,128703535,"chr",1,38
-324.767594722829,"chr8",128703536,128703587,"chr",1,39
-330.70431006893,"chr8",128703588,128703593,"chr",1,40
-341.085373185574,"chr8",128703594,128703596,"chr",1,41
-348.465707124363,"chr8",128703597,128703667,"chr",1,42
-366.602068308413,"chr8",128703668,128703673,"chr",1,43
-366.602068308413,"chr8",128703674,128703674,"chr",1,43
-386.008799781745,"chr8",128703675,128703675,"chr",1,44
-385.902751428616,"chr8",128703676,128703676,"chr",1,45
-402.85554591277,"chr8",128703677,128703714,"chr",1,47
-415.608826679295,"chr8",128703715,128703717,"chr",1,48
-421.509230912814,"chr8",128703718,128703815,"chr",1,49
-436.954102090192,"chr8",128703816,128703825,"chr",1,50
-452.649457087743,"chr8",128703826,128703854,"chr",1,51
-471.889065893418,"chr8",128703855,128703890,"chr",1,52
-463.2505219107,"chr8",128703891,128703903,"chr",1,51
