"chrom","start","end","label"
"chr8",128703371,128703391,"chr"
"chr8",128703511,128703531,"chr"
"chr8",128703521,128703541,"chr"
"chr8",128703539,128703559,"chr"
"chr8",128703540,128703560,"chr"
"chr8",128703540,128703560,"chr"
"chr8",128703541,128703561,"chr"
"chr8",128703544,128703564,"chr"
"chr8",128703614,128703634,"chr"
"chr8",128703615,128703635,"chr"
"chr8",128703616,128703636,"chr"
"chr8",128703631,128703651,"chr"
"chr8",128703645,128703665,"chr"
"chr8",128703646,128703666,"chr"
"chr8",128703668,128703688,"chr"
"chr8",128703706,128703726,"chr"
"chr8",128703707,128703727,"chr"
"chr8",128703715,128703735,"chr"
"chr8",128703748,128703768,"chr"
"chr8",128703749,128703769,"chr"
"chr8",128703787,128703807,"chr"
"chr8",128703793,128703813,"chr"
"chr8",128703794,128703814,"chr"
"chr8",128703798,128703818,"chr"
"chr8",128703799,128703819,"chr"
"chr8",128703800,128703820,"chr"
"chr8",128703816,128703836,"chr"
"chr8",128703817,128703837,"chr"
"chr8",128703818,128703838,"chr"
"chr8",128703880,128703900,"chr"
"chr8",128703881,128703901,"chr"
"chr8",128703882,128703902,"chr"
"chr8",128703888,128703908,"chr"
"chr8",128703889,128703909,"chr"
"chr8",128703893,128703913,"chr"
"chr8",128703957,128703977,"chr"
"chr8",128703988,128704008,"chr"
"chr8",128704023,128704043,"chr"
"chr8",128704036,128704056,"chr"
"chr8",128704088,128704108,"chr"
"chr8",128704094,128704114,"chr"
"chr8",128704097,128704117,"chr"
"chr8",128704168,128704188,"chr"
"chr8",128704174,128704194,"chr"
"chr8",128704175,128704195,"chr"
"chr8",128704176,128704196,"chr"
"chr8",128704177,128704197,"chr"
"chr8",128704215,128704235,"chr"
"chr8",128704218,128704238,"chr"
"chr8",128704316,128704336,"chr"
"chr8",128704326,128704346,"chr"
"chr8",128704355,128704375,"chr"
"chr8",128704404,128704424,"chr"
"chr8",128704416,128704436,"chr"
"chr8",128704446,128704466,"chr"
"chr8",128704452,128704472,"chr"
"chr8",128704468,128704488,"chr"
"chr8",128704469,128704489,"chr"
NA,NA,NA,"neg"
"chr8",128704482,128704502,"chr"
"chr8",128704486,128704506,"chr"
"chr8",128704497,128704517,"chr"
"chr8",128704523,128704543,"chr"
"chr8",128704524,128704544,"chr"
"chr8",128704532,128704552,"chr"
"chr8",128704532,128704552,"chr"
"chr8",128704540,128704560,"chr"
"chr8",128704541,128704561,"chr"
"chr8",128704560,128704580,"chr"
"chr8",128704570,128704590,"chr"
"chr8",128704578,128704598,"chr"
"chr8",128704613,128704633,"chr"
"chr8",128704643,128704663,"chr"
"chr8",128704646,128704666,"chr"
"chr8",128704649,128704669,"chr"
"chr8",128704653,128704673,"chr"
"chr8",128704654,128704674,"chr"
"chr8",128704655,128704675,"chr"
NA,NA,NA,"neg"
"chr8",128704664,128704684,"chr"
NA,NA,NA,"neg"
"chr8",128704688,128704708,"chr"
"chr8",128704694,128704714,"chr"
NA,NA,NA,"neg"
"chr8",128704707,128704727,"chr"
NA,NA,NA,"neg"
"chr8",128704710,128704730,"chr"
"chr8",128704741,128704761,"chr"
"chr8",128704748,128704768,"chr"
"chr8",128704775,128704795,"chr"
"chr8",128704779,128704799,"chr"
"chr8",128704784,128704804,"chr"
"chr8",128704787,128704807,"chr"
"chr8",128704792,128704812,"chr"
"chr8",128704840,128704860,"chr"
"chr8",128705107,128705127,"chr"
"chr8",128705122,128705142,"chr"
"chr8",128705155,128705175,"chr"
"chr8",128705162,128705182,"chr"
"chr8",128705174,128705194,"chr"
"chr8",128705183,128705203,"chr"
"chr8",128705235,128705255,"chr"
"chr8",128705246,128705266,"chr"
"chr8",128705247,128705267,"chr"
"chr8",128705256,128705276,"chr"
"chr8",128705262,128705282,"chr"
"chr8",128705279,128705299,"chr"
"chr8",128705284,128705304,"chr"
"chr8",128705305,128705325,"chr"
"chr8",128705308,128705328,"chr"
"chr8",128705323,128705343,"chr"
"chr8",128705324,128705344,"chr"
NA,NA,NA,"neg"
"chr8",128705353,128705373,"chr"
"chr8",128705398,128705418,"chr"
"chr8",128705401,128705421,"chr"
"chr8",128705405,128705425,"chr"
"chr8",128705413,128705433,"chr"
"chr8",128705459,128705479,"chr"
"chr8",128705463,128705483,"chr"
"chr8",128705465,128705485,"chr"
"chr8",128705516,128705536,"chr"
"chr8",128705530,128705550,"chr"
"chr8",128705567,128705587,"chr"
"chr8",128705568,128705588,"chr"
"chr8",128705580,128705600,"chr"
"chr8",128705581,128705601,"chr"
"chr8",128705588,128705608,"chr"
"chr8",128705614,128705634,"chr"
"chr8",128705615,128705635,"chr"
"chr8",128705680,128705700,"chr"
"chr8",128705682,128705702,"chr"
"chr8",128705685,128705705,"chr"
"chr8",128705688,128705708,"chr"
"chr8",128705691,128705711,"chr"
NA,NA,NA,"neg"
"chr8",128705695,128705715,"chr"
"chr8",128705713,128705733,"chr"
NA,NA,NA,"neg"
"chr8",128705723,128705743,"chr"
"chr8",128705724,128705744,"chr"
"chr8",128705726,128705746,"chr"
"chr8",128705747,128705767,"chr"
"chr8",128705766,128705786,"chr"
"chr8",128705767,128705787,"chr"
"chr8",128705768,128705788,"chr"
"chr8",128705774,128705794,"chr"
"chr8",128705799,128705819,"chr"
"chr8",128705812,128705832,"chr"
"chr8",128705845,128705865,"chr"
"chr8",128705880,128705900,"chr"
"chr8",128705888,128705908,"chr"
"chr8",128705889,128705909,"chr"
"chr8",128705901,128705921,"chr"
"chr8",128705912,128705932,"chr"
"chr8",128705918,128705938,"chr"
"chr8",128705926,128705946,"chr"
"chr8",128705935,128705955,"chr"
"chr8",128705984,128706004,"chr"
"chr8",128705985,128706005,"chr"
"chr8",128705988,128706008,"chr"
"chr8",128705993,128706013,"chr"
"chr8",128705997,128706017,"chr"
"chr8",128706006,128706026,"chr"
"chr8",128706018,128706038,"chr"
NA,NA,NA,"neg"
"chr8",128706029,128706049,"chr"
"chr8",128706037,128706057,"chr"
"chr8",128706048,128706068,"chr"
"chr8",128706061,128706081,"chr"
"chr8",128706069,128706089,"chr"
"chr8",128706076,128706096,"chr"
"chr8",128706080,128706100,"chr"
"chr8",128706081,128706101,"chr"
"chr8",128706094,128706114,"chr"
"chr8",128706108,128706128,"chr"
"chr8",128706109,128706129,"chr"
"chr8",128706112,128706132,"chr"
"chr8",128706114,128706134,"chr"
"chr8",128706120,128706140,"chr"
"chr8",128706121,128706141,"chr"
"chr8",128706122,128706142,"chr"
NA,NA,NA,"neg"
"chr8",128706141,128706161,"chr"
NA,NA,NA,"neg"
"chr8",128706157,128706177,"chr"
"chr8",128706187,128706207,"chr"
"chr8",128706188,128706208,"chr"
"chr8",128706192,128706212,"chr"
"chr8",128706197,128706217,"chr"
"chr8",128706202,128706222,"chr"
"chr8",128706207,128706227,"chr"
"chr8",128706240,128706260,"chr"
"chr8",128706241,128706261,"chr"
"chr8",128706242,128706262,"chr"
NA,NA,NA,"neg"
"chr8",128706286,128706306,"chr"
"chr8",128706298,128706318,"chr"
"chr8",128706300,128706320,"chr"
NA,NA,NA,"neg"
"chr8",128706314,128706334,"chr"
"chr8",128706327,128706347,"chr"
"chr8",128706331,128706351,"chr"
"chr8",128706341,128706361,"chr"
"chr8",128706344,128706364,"chr"
"chr8",128706349,128706369,"chr"
"chr8",128706367,128706387,"chr"
"chr8",128706370,128706390,"chr"
"chr8",128706379,128706399,"chr"
"chr8",128706381,128706401,"chr"
"chr8",128706385,128706405,"chr"
"chr8",128706388,128706408,"chr"
"chr8",128706397,128706417,"chr"
"chr8",128706398,128706418,"chr"
"chr8",128706430,128706450,"chr"
NA,NA,NA,"neg"
"chr8",128706434,128706454,"chr"
"chr8",128706441,128706461,"chr"
"chr8",128706454,128706474,"chr"
"chr8",128706468,128706488,"chr"
"chr8",128706477,128706497,"chr"
"chr8",128706498,128706518,"chr"
"chr8",128706512,128706532,"chr"
"chr8",128706519,128706539,"chr"
"chr8",128706522,128706542,"chr"
"chr8",128706538,128706558,"chr"
"chr8",128706539,128706559,"chr"
"chr8",128706567,128706587,"chr"
"chr8",128706596,128706616,"chr"
"chr8",128706601,128706621,"chr"
"chr8",128706602,128706622,"chr"
"chr8",128706603,128706623,"chr"
"chr8",128706609,128706629,"chr"
"chr8",128706624,128706644,"chr"
"chr8",128706631,128706651,"chr"
"chr8",128706632,128706652,"chr"
"chr8",128706636,128706656,"chr"
"chr8",128706639,128706659,"chr"
NA,NA,NA,"neg"
"chr8",128706655,128706675,"chr"
"chr8",128706656,128706676,"chr"
"chr8",128706663,128706683,"chr"
"chr8",128706669,128706689,"chr"
"chr8",128706670,128706690,"chr"
"chr8",128706684,128706704,"chr"
"chr8",128706685,128706705,"chr"
"chr8",128706686,128706706,"chr"
"chr8",128706687,128706707,"chr"
"chr8",128706691,128706711,"chr"
"chr8",128706692,128706712,"chr"
"chr8",128706693,128706713,"chr"
"chr8",128706705,128706725,"chr"
"chr8",128706706,128706726,"chr"
"chr8",128706711,128706731,"chr"
"chr8",128706727,128706747,"chr"
"chr8",128706728,128706748,"chr"
"chr8",128706731,128706751,"chr"
"chr8",128706751,128706771,"chr"
"chr8",128706756,128706776,"chr"
"chr8",128706763,128706783,"chr"
"chr8",128706771,128706791,"chr"
"chr8",128706777,128706797,"chr"
"chr8",128706778,128706798,"chr"
"chr8",128706784,128706804,"chr"
"chr8",128706785,128706805,"chr"
"chr8",128706837,128706857,"chr"
"chr8",128706845,128706865,"chr"
"chr8",128706854,128706874,"chr"
"chr8",128706957,128706977,"chr"
"chr8",128706979,128706999,"chr"
"chr8",128706983,128707003,"chr"
"chr8",128706984,128707004,"chr"
"chr8",128706985,128707005,"chr"
"chr8",128707000,128707020,"chr"
"chr8",128707001,128707021,"chr"
"chr8",128707001,128707021,"chr"
"chr8",128707021,128707041,"chr"
"chr8",128707035,128707055,"chr"
"chr8",128707036,128707056,"chr"
"chr8",128707076,128707096,"chr"
"chr8",128707081,128707101,"chr"
"chr8",128707094,128707114,"chr"
"chr8",128707096,128707116,"chr"
"chr8",128707125,128707145,"chr"
"chr8",128707128,128707148,"chr"
"chr8",128707129,128707149,"chr"
"chr8",128707153,128707173,"chr"
"chr8",128707156,128707176,"chr"
"chr8",128707164,128707184,"chr"
"chr8",128707177,128707197,"chr"
"chr8",128707178,128707198,"chr"
"chr8",128707192,128707212,"chr"
"chr8",128707206,128707226,"chr"
NA,NA,NA,"neg"
"chr8",128707213,128707233,"chr"
"chr8",128707214,128707234,"chr"
"chr8",128707215,128707235,"chr"
"chr8",128707219,128707239,"chr"
"chr8",128707220,128707240,"chr"
"chr8",128707227,128707247,"chr"
"chr8",128707229,128707249,"chr"
"chr8",128707264,128707284,"chr"
"chr8",128707276,128707296,"chr"
"chr8",128707292,128707312,"chr"
"chr8",128707298,128707318,"chr"
"chr8",128707302,128707322,"chr"
"chr8",128707305,128707325,"chr"
"chr8",128707311,128707331,"chr"
"chr8",128707315,128707335,"chr"
"chr8",128707317,128707337,"chr"
"chr8",128707318,128707338,"chr"
"chr8",128707318,128707338,"chr"
"chr8",128707319,128707339,"chr"
"chr8",128707319,128707339,"chr"
"chr8",128707331,128707351,"chr"
"chr8",128707332,128707352,"chr"
"chr8",128707333,128707353,"chr"
"chr8",128707351,128707371,"chr"
"chr8",128707397,128707417,"chr"
"chr8",128707400,128707420,"chr"
"chr8",128707419,128707439,"chr"
"chr8",128707423,128707443,"chr"
"chr8",128707451,128707471,"chr"
"chr8",128707452,128707472,"chr"
"chr8",128707471,128707491,"chr"
"chr8",128707476,128707496,"chr"
"chr8",128707513,128707533,"chr"
"chr8",128707544,128707564,"chr"
"chr8",128707551,128707571,"chr"
"chr8",128707561,128707581,"chr"
"chr8",128707562,128707582,"chr"
"chr8",128707563,128707583,"chr"
"chr8",128707570,128707590,"chr"
"chr8",128707571,128707591,"chr"
"chr8",128707575,128707595,"chr"
"chr8",128707576,128707596,"chr"
NA,NA,NA,"neg"
"chr8",128707607,128707627,"chr"
NA,NA,NA,"neg"
"chr8",128707615,128707635,"chr"
"chr8",128707619,128707639,"chr"
"chr8",128707620,128707640,"chr"
NA,NA,NA,"neg"
"chr8",128707626,128707646,"chr"
"chr8",128707627,128707647,"chr"
"chr8",128707628,128707648,"chr"
"chr8",128707635,128707655,"chr"
"chr8",128707636,128707656,"chr"
"chr8",128707666,128707686,"chr"
"chr8",128707669,128707689,"chr"
"chr8",128707673,128707693,"chr"
"chr8",128707678,128707698,"chr"
"chr8",128707695,128707715,"chr"
"chr8",128707696,128707716,"chr"
"chr8",128707697,128707717,"chr"
"chr8",128707698,128707718,"chr"
"chr8",128707699,128707719,"chr"
"chr8",128707730,128707750,"chr"
NA,NA,NA,"neg"
"chr8",128707871,128707891,"chr"
"chr8",128707880,128707900,"chr"
"chr8",128707883,128707903,"chr"
"chr8",128707948,128707968,"chr"
"chr8",128708213,128708233,"pos"
"chr8",128708232,128708252,"pos"
"chr8",128708241,128708261,"pos"
"chr8",128708256,128708276,"pos"
