"chrom","start","end","label"
"chr12",9879683,9879893,"chr"
"chr12",9879894,9879999,"chr"
"chr12",9880000,9880130,"chr"
"chr12",9880131,9880303,"chr"
"chr12",9880304,9880408,"chr"
"chr12",9880409,9880513,"chr"
"chr12",9880514,9880624,"chr"
"chr12",9880625,9880730,"chr"
"chr12",9880731,9880889,"chr"
"chr12",9880890,9881005,"chr"
"chr12",9881006,9881130,"chr"
"chr12",9881131,9881238,"chr"
"chr12",9881239,9881353,"chr"
"chr12",9881354,9881454,"chr"
"chr12",9881455,9881719,"chr"
"chr12",9881720,9881832,"chr"
"chr12",9881833,9881936,"chr"
"chr12",9881937,9882048,"chr"
"chr12",9882049,9882183,"chr"
"chr12",9882184,9882309,"chr"
"chr12",9882310,9882411,"chr"
"chr12",9882412,9882526,"chr"
"chr12",9882527,9882644,"chr"
"chr12",9882645,9882749,"chr"
"chr12",9882750,9882860,"chr"
"chr12",9882861,9882971,"chr"
"chr12",9882972,9883139,"chr"
"chr12",9883140,9883241,"chr"
"chr12",9883242,9883356,"chr"
"chr12",9883357,9883484,"chr"
"chr12",9883485,9883589,"chr"
"chr12",9883590,9883720,"chr"
"chr12",9883721,9883845,"chr"
"chr12",9883846,9883980,"chr"
"chr12",9883981,9884102,"chr"
"chr12",9884103,9884213,"chr"
"chr12",9884214,9884321,"chr"
"chr12",9884322,9884451,"chr"
"chr12",9884452,9884562,"chr"
"chr12",9884563,9884675,"chr"
"chr12",9884676,9884823,"chr"
"chr12",9884824,9884932,"chr"
"chr12",9884933,9885043,"chr"
"chr12",9885044,9885153,"chr"
"chr12",9885154,9885290,"chr"
"chr12",9885291,9885392,"chr"
"chr12",9885393,9885558,"chr"
"chr12",9885559,9885661,"chr"
"chr12",9885662,9885811,"chr"
"chr12",9885812,9885933,"chr"
"chr12",9885934,9886058,"chr"
"chr12",9886059,9886161,"chr"
"chr12",9886162,9886262,"chr"
"chr12",9886263,9886388,"chr"
"chr12",9886389,9886516,"chr"
"chr12",9886517,9886641,"chr"
"chr12",9886642,9886863,"chr"
"chr12",9886864,9886975,"chr"
"chr12",9886976,9887099,"chr"
"chr12",9887100,9887240,"chr"
"chr12",9887241,9887346,"chr"
"chr12",9887347,9887693,"chr"
"chr12",9887694,9887869,"chr"
"chr12",9887870,9887981,"chr"
"chr12",9887982,9888085,"chr"
"chr12",9888086,9888604,"chr"
"chr12",9888605,9888711,"chr"
"chr12",9888712,9888823,"chr"
"chr12",9888824,9888931,"chr"
"chr12",9888932,9889047,"chr"
"chr12",9889048,9889154,"chr"
"chr12",9889155,9889361,"chr"
"chr12",9889362,9889489,"chr"
"chr12",9889490,9889636,"chr"
"chr12",9889637,9889761,"chr"
"chr12",9889762,9889867,"chr"
"chr12",9889868,9889984,"chr"
"chr12",9889985,9890087,"chr"
"chr12",9890088,9890191,"chr"
"chr12",9890192,9890324,"chr"
"chr12",9890325,9890466,"chr"
"chr12",9890467,9890591,"chr"
"chr12",9890592,9890697,"chr"
"chr12",9890698,9890825,"chr"
"chr12",9890826,9890933,"chr"
"chr12",9890934,9891061,"chr"
"chr12",9891062,9891308,"chr"
"chr12",9891309,9891486,"chr"
"chr12",9891487,9891594,"chr"
"chr12",9891595,9891705,"chr"
"chr12",9891706,9892138,"chr"
"chr12",9892139,9892348,"chr"
"chr12",9892349,9892470,"chr"
"chr12",9892471,9892576,"chr"
"chr12",9892577,9892692,"chr"
"chr12",9892693,9892812,"chr"
"chr12",9892813,9892920,"chr"
"chr12",9892921,9893075,"chr"
