"chrom","start","end","label","sgTarget","score"
"chr12",9879683,9880513,"chr",9880098,-37.765
"chr12",9879700,9880530,"chr",9880115,-6.614
"chr12",9879709,9880539,"chr",9880124,-32.649
"chr12",9879735,9880565,"chr",9880150,-27.732
"chr12",9879744,9880574,"chr",9880159,-7.512
"chr12",9879753,9880583,"chr",9880168,-37.993
"chr12",9879893,9880723,"chr",9880308,-29.35
"chr12",9879894,9880724,"chr",9880309,-22.213
"chr12",9879900,9880730,"chr",9880315,-30.398
"chr12",9879939,9880769,"chr",9880354,-21.24
"chr12",9879999,9880829,"chr",9880414,-17.326
"chr12",9880130,9880960,"chr",9880545,-32.48
"chr12",9880140,9880970,"chr",9880555,-23.154
"chr12",9880149,9880979,"chr",9880564,9.667
"chr12",9880188,9881018,"chr",9880603,-28.64
"chr12",9880205,9881035,"chr",9880620,-25.443
"chr12",9880215,9881045,"chr",9880630,-26.57
"chr12",9880303,9881133,"chr",9880718,-34.776
"chr12",9880304,9881134,"chr",9880719,-16.543
"chr12",9880408,9881238,"chr",9880823,-12.939
"chr12",9880489,9881319,"chr",9880904,-24.887
"chr12",9880624,9881454,"chr",9881039,-44.218
"chr12",9880672,9881502,"chr",9881087,-14.069
"chr12",9880690,9881520,"chr",9881105,-26.55
"chr12",9880889,9881719,"chr",9881304,-29.471
"chr12",9880890,9881720,"chr",9881305,-10.409
"chr12",9880895,9881725,"chr",9881310,-29.852
"chr12",9880896,9881726,"chr",9881311,-12.98
"chr12",9880907,9881737,"chr",9881322,-28.613
"chr12",9880908,9881738,"chr",9881323,-24.85
"chr12",9880918,9881748,"chr",9881333,-26.576
"chr12",9880924,9881754,"chr",9881339,-65.533
"chr12",9880964,9881794,"chr",9881379,-25.906
"chr12",9881005,9881835,"chr",9881420,-11.761
"chr12",9881130,9881960,"chr",9881545,-27.082
"chr12",9881145,9881975,"chr",9881560,-42.521
"chr12",9881162,9881992,"chr",9881577,-18.602
"chr12",9881218,9882048,"chr",9881633,-30.5
"chr12",9881219,9882049,"chr",9881634,-33.597
"chr12",9881220,9882050,"chr",9881635,-39.909
"chr12",9881353,9882183,"chr",9881768,-23.854
"chr12",9881382,9882212,"chr",9881797,-40.498
"chr12",9881438,9882268,"chr",9881853,-25.367
"chr12",9881491,9882321,"chr",9881906,-31.019
"chr12",9881495,9882325,"chr",9881910,-34.968
"chr12",9881789,9882619,"chr",9882204,-25.7
"chr12",9881796,9882626,"chr",9882211,-27.13
"chr12",9881814,9882644,"chr",9882229,-24.606
"chr12",9881832,9882662,"chr",9882247,-14.204
"chr12",9881837,9882667,"chr",9882252,-4.031
"chr12",9881878,9882708,"chr",9882293,-10.766
"chr12",9881879,9882709,"chr",9882294,-32.461
"chr12",9881892,9882722,"chr",9882307,-24.036
"chr12",9881901,9882731,"chr",9882316,-39.122
"chr12",9881908,9882738,"chr",9882323,-27.657
"chr12",9881912,9882742,"chr",9882327,-19.272
"chr12",9881919,9882749,"chr",9882334,-40.719
"chr12",9881936,9882766,"chr",9882351,-20.784
"chr12",9881960,9882790,"chr",9882375,-13.603
"chr12",9882030,9882860,"chr",9882445,-35.256
"chr12",9882076,9882906,"chr",9882491,-35.021
"chr12",9882077,9882907,"chr",9882492,-40.468
"chr12",9882078,9882908,"chr",9882493,-24.744
"chr12",9882118,9882948,"chr",9882533,-36.781
"chr12",9882119,9882949,"chr",9882534,-16.39
"chr12",9882141,9882971,"chr",9882556,-24.51
"chr12",9882142,9882972,"chr",9882557,-34.829
"chr12",9882224,9883054,"chr",9882639,-36.999
"chr12",9882230,9883060,"chr",9882645,-29.215
"chr12",9882309,9883139,"chr",9882724,-17.985
"chr12",9882310,9883140,"chr",9882725,-17.166
"chr12",9882325,9883155,"chr",9882740,-15.494
"chr12",9882326,9883156,"chr",9882741,-24.089
"chr12",9882327,9883157,"chr",9882742,-19.095
"chr12",9882397,9883227,"chr",9882812,-23.732
"chr12",9882411,9883241,"chr",9882826,-31.295
"chr12",9882417,9883247,"chr",9882832,-29.127
"chr12",9882526,9883356,"chr",9882941,-8.629
"chr12",9882654,9883484,"chr",9883069,-20.528
"chr12",9883150,9883980,"chr",9883565,-28.27
"chr12",9883194,9884024,"chr",9883609,-16.01
"chr12",9883274,9884104,"chr",9883689,-13.337
"chr12",9883357,9884187,"chr",9883772,-22.947
"chr12",9883369,9884199,"chr",9883784,-16.416
"chr12",9883491,9884321,"chr",9883906,-13.72
"chr12",9883511,9884341,"chr",9883926,-24.754
"chr12",9883518,9884348,"chr",9883933,-32.326
"chr12",9883584,9884414,"chr",9883999,-17.425
"chr12",9883589,9884419,"chr",9884004,-33.156
"chr12",9883621,9884451,"chr",9884036,-21.988
"chr12",9883628,9884458,"chr",9884043,-44.115
"chr12",9883671,9884501,"chr",9884086,-33.836
"chr12",9883685,9884515,"chr",9884100,-25.184
"chr12",9883720,9884550,"chr",9884135,-46.366
"chr12",9883742,9884572,"chr",9884157,-15.295
"chr12",9883783,9884613,"chr",9884198,-27.848
"chr12",9883845,9884675,"chr",9884260,-20.97
"chr12",9883849,9884679,"chr",9884264,-9.225
"chr12",9883927,9884757,"chr",9884342,-44.677
"chr12",9883944,9884774,"chr",9884359,-15.658
"chr12",9883945,9884775,"chr",9884360,-32.629
"chr12",9883993,9884823,"chr",9884408,-23.751
"chr12",9884002,9884832,"chr",9884417,-20.507
"chr12",9884003,9884833,"chr",9884418,-32.289
"chr12",9884007,9884837,"chr",9884422,-2.969
"chr12",9884014,9884844,"chr",9884429,-18.156
"chr12",9884029,9884859,"chr",9884444,-35.344
"chr12",9884102,9884932,"chr",9884517,-28.234
"chr12",9884183,9885013,"chr",9884598,-27.144
"chr12",9884213,9885043,"chr",9884628,-1.823
"chr12",9884214,9885044,"chr",9884629,-23.929
"chr12",9884227,9885057,"chr",9884642,-26.641
"chr12",9884263,9885093,"chr",9884678,-16.908
"chr12",9884272,9885102,"chr",9884687,-29.586
"chr12",9884333,9885163,"chr",9884748,-12.43
"chr12",9884373,9885203,"chr",9884788,-11.853
"chr12",9884374,9885204,"chr",9884789,-23.884
"chr12",9884386,9885216,"chr",9884801,-20.917
"chr12",9884411,9885241,"chr",9884826,-33.408
"chr12",9884460,9885290,"chr",9884875,-22.27
"chr12",9884562,9885392,"chr",9884977,-32.629
"chr12",9884577,9885407,"chr",9884992,-2.868
"chr12",9884600,9885430,"chr",9885015,-25.572
"chr12",9884732,9885562,"chr",9885147,-28.299
"chr12",9884738,9885568,"chr",9885153,-18.491
"chr12",9884746,9885576,"chr",9885161,-19.603
"chr12",9884747,9885577,"chr",9885162,-40.283
"chr12",9884831,9885661,"chr",9885246,-28.37
"chr12",9884832,9885662,"chr",9885247,-40.06
"chr12",9885103,9885933,"chr",9885518,-21.938
"chr12",9885111,9885941,"chr",9885526,-35.272
"chr12",9885119,9885949,"chr",9885534,-23.848
"chr12",9885135,9885965,"chr",9885550,-34.905
"chr12",9885153,9885983,"chr",9885568,-23.864
"chr12",9885154,9885984,"chr",9885569,-35.474
"chr12",9885155,9885985,"chr",9885570,-30.443
"chr12",9885160,9885990,"chr",9885575,-27.414
"chr12",9885194,9886024,"chr",9885609,-27.806
"chr12",9885198,9886028,"chr",9885613,-29.183
"chr12",9885228,9886058,"chr",9885643,-20.41
"chr12",9885241,9886071,"chr",9885656,-33.105
"chr12",9885251,9886081,"chr",9885666,-30.123
"chr12",9885316,9886146,"chr",9885731,-18.446
"chr12",9885317,9886147,"chr",9885732,-24.189
"chr12",9885318,9886148,"chr",9885733,-23.417
"chr12",9885359,9886189,"chr",9885774,-33.361
"chr12",9885386,9886216,"chr",9885801,-36.325
"chr12",9885418,9886248,"chr",9885833,1.89
"chr12",9885432,9886262,"chr",9885847,-31.264
"chr12",9885443,9886273,"chr",9885858,-15.294
"chr12",9885558,9886388,"chr",9885973,-33.658
"chr12",9885572,9886402,"chr",9885987,-20.989
"chr12",9885575,9886405,"chr",9885990,-22.093
"chr12",9885589,9886419,"chr",9886004,-24.625
"chr12",9885601,9886431,"chr",9886016,-8.471
"chr12",9885610,9886440,"chr",9886025,-41.771
"chr12",9885622,9886452,"chr",9886037,-26.399
"chr12",9885623,9886453,"chr",9886038,-7.937
"chr12",9885693,9886523,"chr",9886108,-31.761
"chr12",9885755,9886585,"chr",9886170,-29.772
"chr12",9885811,9886641,"chr",9886226,-14.199
"chr12",9886145,9886975,"chr",9886560,-19.956
"chr12",9886161,9886991,"chr",9886576,-29.827
"chr12",9886162,9886992,"chr",9886577,-20.967
"chr12",9886179,9887009,"chr",9886594,-30.769
"chr12",9886187,9887017,"chr",9886602,-20.162
"chr12",9886196,9887026,"chr",9886611,-18.941
"chr12",9886205,9887035,"chr",9886620,-33.597
"chr12",9886240,9887070,"chr",9886655,-27.765
"chr12",9886269,9887099,"chr",9886684,-28.884
"chr12",9886283,9887113,"chr",9886698,-44.03
"chr12",9886304,9887134,"chr",9886719,-31.948
"chr12",9886358,9887188,"chr",9886773,-44.2
"chr12",9886410,9887240,"chr",9886825,-34.791
"chr12",9886414,9887244,"chr",9886829,-20.922
"chr12",9886431,9887261,"chr",9886846,-35.191
"chr12",9886434,9887264,"chr",9886849,-43.363
"chr12",9886435,9887265,"chr",9886850,-5.557
"chr12",9886438,9887268,"chr",9886853,-40.118
"chr12",9886448,9887278,"chr",9886863,-14.248
"chr12",9886459,9887289,"chr",9886874,-25.863
"chr12",9886460,9887290,"chr",9886875,-32.6
"chr12",9886464,9887294,"chr",9886879,-7.672
"chr12",9886470,9887300,"chr",9886885,-26.01
"chr12",9886483,9887313,"chr",9886898,-21.345
"chr12",9886516,9887346,"chr",9886931,-26.395
"chr12",9886532,9887362,"chr",9886947,-23.768
"chr12",9886609,9887439,"chr",9887024,-17.303
"chr12",9886612,9887442,"chr",9887027,-24.819
